UMGS_ID	MAG_ID	Phylum	Class	Order	Family	Genus
UMGS1071	SRR5056671_bin.32	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
UMGS1072	ERR1305896_bin.8	Firmicutes	Clostridia	Clostridiales	NA	NA
UMGS1073	ERR1190946_bin.14	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella
UMGS1074	ERR1190534_bin.25	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
UMGS1075	ERR1190936_bin.72	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
UMGS1077	ERR688518_bin.6	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
UMGS1078	ERR011143_bin.8	Cyanobacteria	Melainabacteria	Gastranaerophilales	NA	NA
UMGS1079	ERR525992_bin.8	Cyanobacteria	Melainabacteria	Gastranaerophilales	NA	NA
UMGS1080	SRR5558298_bin.104	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Olsenella
UMGS1081	ERR209280_bin.22	Tenericutes	NA	NA	NA	NA
UMGS1082	ERR1190866_bin.13	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
UMGS1083	SRR2912778_bin.6	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
UMGS1084	SRR4305433_bin.6	NA	NA	NA	NA	NA
UMGS1085	SRR3992981_bin.16	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
UMGS1086	ERR1190887_bin.6	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
UMGS1087	ERR1620299_bin.21	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
UMGS1088	SRR5963302_bin.17	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
UMGS1089	ERR1190910_bin.22	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
UMGS1091	SRR3582135_bin.3	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	Oscillibacter
UMGS1092	ERR1018302_bin.14	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Succinatimonas
UMGS1093	SRR3496379_bin.24	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
UMGS1094	SRR5056760_bin.8	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
UMGS1095	SRR5127712_bin.5	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
UMGS1096	SRR5057037_bin.59	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium
UMGS1097	ERR525737_bin.51	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
UMGS1098	ERR1620255_bin.64	Firmicutes	Clostridia	Clostridiales	NA	NA
UMGS1099	ERR526047_bin.23	Firmicutes	Clostridia	Clostridiales	NA	NA
UMGS1100	SRR5127408_bin.10	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
UMGS1101	SRR5056774_bin.3	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
UMGS1102	ERR688524_bin.55	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
UMGS1103	SRR5279293_bin.42	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
UMGS1104	ERR1305901_bin.62	Firmicutes	Clostridia	Clostridiales	NA	NA
UMGS1105	SRR1214948_bin.2	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
UMGS1106	ERR1305895_bin.30	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
UMGS1107	SRR2992966_bin.4	NA	NA	NA	NA	NA
UMGS1108	SRR3992965_bin.57	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
UMGS1109	SRR5580035_bin.85	Tenericutes	Mollicutes	NA	NA	NA
UMGS1110	SRR3737031_bin.13	Tenericutes	NA	NA	NA	NA
UMGS1111	ERR414291_bin.37	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA
UMGS1112	ERR1913037_bin.20	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
UMGS1113	SRR5580042_bin.20	Firmicutes	Clostridia	Clostridiales	NA	NA
